match,R1,R2,R3,B1,B2,B3
qm1,1831,1073,8724,3467,238,6763
qm2,1307,151,9993,1922,166,8046
qm3,7674,811,1247,4546,8708,5813
qm4,4925,6690,131,319,1058,501
qm5,1307,3467,1073,151,1922,1831
qm6,8046,4546,1247,5813,166,238
qm7,8724,131,811,319,9993,4925
qm8,8708,501,7674,6690,6763,1058
qm9,238,1247,1307,5813,1922,1073
qm10,1831,811,4546,131,319,151
qm11,4925,8708,6763,166,9993,1058
qm12,3467,8724,501,8046,7674,6690
qm13,1073,131,238,811,5813,151
qm14,4546,6763,319,8708,1307,1922
qm15,8724,1247,166,6690,501,9993
qm16,1058,8046,4925,7674,1831,3467
qm17,6763,1307,131,238,151,8708
qm18,501,1073,4546,9993,8724,5813
qm19,1922,4925,7674,166,1831,6690
qm20,811,319,8046,1247,1058,3467
