match,R1,R2,R2,B1,B2,B3
qm1,5813,2342,3323,1721,296,151
qm2,4909,238,157,2084,5962,4041
qm3,58,2079,1729,501,1519,5687
qm4,1153,4905,246,1073,3467,2713
qm5,3117,811,5813,3986,1729,238
qm6,3323,1153,1519,4041,157,4905
qm7,5687,1721,58,811,246,5962
qm8,296,2084,2342,2079,1073,3117
qm9,3467,501,3986,2713,151,4909
qm10,4905,3117,2084,5813,5687,1153
qm11,151,3986,157,246,58,296
qm12,5962,2713,1729,2342,4041,3467
qm13,1519,1073,811,3323,4909,501
qm14,238,2713,1721,4905,1153,2079
