matchNum,allianceStationID,team,teamMatchNum,preNoShow,preStartPosID,autoFuelTotal,autoNZtotal,autoLinePen,autoClimbTypeID,autoClimbLocID,teleFuelTotal,teleNZtotal,nzShuttle,oppShuttle,oppPickup,climbTypeID,climbLocID,climbTime,postSubBroke,postBreakDown,postBeach,postDef,postWasDef,BATechFoul,BAFoul,RP1,RP2,RP3,nzPlow,alliancePickup
6,6,7127,1,0.0,3.0,0,1,0,,,50,4,1,0,0,5.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,2
7,1,2067,1,0.0,2.0,25,3,0,,,56,4,0,0,0,5.0,,,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0
7,2,8567,2,0.0,4.0,0,1,0,,,0,0,0,0,0,5.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2
7,3,1027,2,0.0,5.0,0,0,0,,,0,0,0,0,0,5.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
7,4,10945,1,0.0,3.0,2,1,0,,,15,2,0,0,0,5.0,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0
7,5,2170,2,0.0,1.0,0,1,0,,,10,1,0,0,0,5.0,,,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2,0
7,6,4176,2,0.0,5.0,0,1,0,,,4,2,0,0,0,5.0,,,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3,0
8,1,9101,2,0.0,2.0,0,1,0,,,0,1,0,0,0,5.0,,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0
8,2,5142,2,0.0,4.0,3,1,0,,,0,1,0,0,0,5.0,,,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0
8,3,1991,2,0.0,5.0,0,1,0,,,0,0,0,0,0,5.0,,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0
