matchNum,allianceStationID,team,teamMatchNum,scoutingStatusID,preNoShow,preStartPosID,autoLeave,autoL4,autoL3,autoL2,autoL1,autoMissL4,autoMissL3,autoMissL2,autoMissL1,autoAlgaeRmv,autoProcessor,autoBarge,autoMarkCoral,autoMarkAlgae,autoMarkMiss,autoCoralStation1,autoCoralStation2,autoMissProcessor,autoMissBarge,teleL4,teleL3,teleL2,teleL1,teleMissL4,teleMissL3,teleMissL2,teleMissL1,teleAlgaeRmv,teleProcessor,teleBarge,teleMissProcessor,teleMissBarge,teleOppProcessor,teleOppCoral,teleOppAlgae,teleCoralStation1,teleCoralStation2,teleCoralGround,climbStatusID,climbTime,postOppCage,postSubBroke,postBreakDown,postDefense,postWasDefended,postGroundPick,postStationPick,postShotAlgae
4,3,178,1,1.0,0.0,4.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6.0,,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
4,4,7127,1,1.0,0.0,3.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,1,0,1,0,1,0,0,0,0,0,0,0,8,0,0,6.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4,5,571,1,1.0,0.0,2.0,1.0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,5,3,0,1,1,1,0,0,0,0,0,0,0,0,13,0,0,6.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4,6,4048,1,1.0,0.0,4.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,10,0,5.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5,1,558,1,1.0,0.0,2.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,5,0,0,5.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5,2,6346,1,1.0,0.0,4.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,3,3,0,6.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5,3,9710,1,1.0,0.0,3.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5,4,195,1,1.0,0.0,2.0,1.0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.0,8.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
5,5,7694,1,1.0,0.0,3.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,6,0,6.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5,6,2168,1,1.0,0.0,5.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,1.0,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
